,date,type,value
0,2021-02-27,HeadphoneAudioExposure,52.571127272727274
1,2021-02-27,WalkingAsymmetryPercentage,0.01
2,2021-02-27,WalkingDoubleSupportPercentage,0.27066666666666667
3,2021-02-27,WalkingSpeed,4.944
4,2021-02-27,WalkingStepLength,78.0
5,2021-02-28,HeadphoneAudioExposure,60.932899166666665
6,2021-02-28,WalkingAsymmetryPercentage,0.05272727272727273
7,2021-02-28,WalkingDoubleSupportPercentage,0.3160833333333333
8,2021-02-28,WalkingSpeed,4.090153846153846
9,2021-02-28,WalkingStepLength,74.6923076923077
10,2021-03-01,HeadphoneAudioExposure,66.91779714285714
11,2021-03-01,WalkingAsymmetryPercentage,0.018888888888888886
12,2021-03-01,WalkingDoubleSupportPercentage,0.2767777777777778
13,2021-03-01,WalkingSpeed,4.7772
14,2021-03-01,WalkingStepLength,76.3
15,2021-03-02,HeadphoneAudioExposure,64.88152941176472
16,2021-03-02,WalkingAsymmetryPercentage,0.0022222222222222222
17,2021-03-02,WalkingDoubleSupportPercentage,0.28640000000000004
18,2021-03-02,WalkingSpeed,4.8624
19,2021-03-02,WalkingStepLength,80.86666666666666
20,2021-03-03,HeadphoneAudioExposure,70.51768
21,2021-03-03,WalkingAsymmetryPercentage,0.0
22,2021-03-03,WalkingDoubleSupportPercentage,0.28
23,2021-03-03,WalkingSpeed,4.851
24,2021-03-03,WalkingStepLength,77.16666666666667
25,2021-03-04,HeadphoneAudioExposure,69.56949189189189
26,2021-03-04,WalkingAsymmetryPercentage,0.0033333333333333335
27,2021-03-04,WalkingDoubleSupportPercentage,0.2629
28,2021-03-04,WalkingSpeed,5.480307692307692
29,2021-03-04,WalkingStepLength,83.46153846153847
30,2021-03-05,HeadphoneAudioExposure,68.98500740740741
31,2021-03-05,WalkingAsymmetryPercentage,0.025714285714285714
32,2021-03-05,WalkingDoubleSupportPercentage,0.29388888888888887
33,2021-03-05,WalkingSpeed,4.731
34,2021-03-05,WalkingStepLength,76.25
35,2021-03-06,HeadphoneAudioExposure,72.255021875
36,2021-03-06,WalkingAsymmetryPercentage,0.010000000000000002
37,2021-03-06,WalkingDoubleSupportPercentage,0.30042857142857143
38,2021-03-06,WalkingSpeed,4.578206896551724
39,2021-03-06,WalkingStepLength,76.3103448275862
40,2021-03-07,HeadphoneAudioExposure,69.57831724137931
41,2021-03-07,WalkingAsymmetryPercentage,0.049999999999999996
42,2021-03-07,WalkingDoubleSupportPercentage,0.2828888888888889
43,2021-03-07,WalkingSpeed,4.617818181818182
44,2021-03-07,WalkingStepLength,76.54545454545455
45,2021-03-08,HeadphoneAudioExposure,68.58707391304348
46,2021-03-08,WalkingDoubleSupportPercentage,0.3205
47,2021-03-08,WalkingSpeed,3.726
48,2021-03-08,WalkingStepLength,70.0
49,2021-03-09,HeadphoneAudioExposure,65.51776363636363
50,2021-03-10,HeadphoneAudioExposure,69.89099999999999
51,2021-03-10,WalkingAsymmetryPercentage,0.0
52,2021-03-10,WalkingDoubleSupportPercentage,0.281
53,2021-03-10,WalkingSpeed,4.248
54,2021-03-10,WalkingStepLength,73.0
55,2021-03-11,HeadphoneAudioExposure,68.47824399999999
56,2021-03-12,HeadphoneAudioExposure,62.752602631578945
57,2021-03-12,WalkingDoubleSupportPercentage,0.281
58,2021-03-12,WalkingSpeed,3.87
59,2021-03-12,WalkingStepLength,62.5
60,2021-03-13,HeadphoneAudioExposure,70.082555
61,2021-03-13,WalkingDoubleSupportPercentage,0.3235
62,2021-03-13,WalkingSpeed,3.528
63,2021-03-13,WalkingStepLength,67.0
64,2021-03-14,HeadphoneAudioExposure,66.72056470588235
65,2021-03-14,WalkingAsymmetryPercentage,0.0325
66,2021-03-14,WalkingDoubleSupportPercentage,0.2907777777777778
67,2021-03-14,WalkingSpeed,4.722545454545455
68,2021-03-14,WalkingStepLength,77.81818181818181
69,2021-03-15,HeadphoneAudioExposure,68.3058590909091
70,2021-03-15,WalkingAsymmetryPercentage,0.005
71,2021-03-15,WalkingDoubleSupportPercentage,0.30444444444444446
72,2021-03-15,WalkingSpeed,3.951
73,2021-03-15,WalkingStepLength,68.66666666666667
74,2021-03-16,HeadphoneAudioExposure,67.02242916666667
75,2021-03-17,HeadphoneAudioExposure,67.92139999999999
76,2021-03-17,WalkingAsymmetryPercentage,0.05666666666666667
77,2021-03-17,WalkingDoubleSupportPercentage,0.2881
78,2021-03-17,WalkingSpeed,4.2048000000000005
79,2021-03-17,WalkingStepLength,69.93333333333334
80,2021-03-18,HeadphoneAudioExposure,66.83877435897436
81,2021-03-18,WalkingAsymmetryPercentage,0.034444444444444444
82,2021-03-18,WalkingDoubleSupportPercentage,0.29989473684210527
83,2021-03-18,WalkingSpeed,3.9925714285714284
84,2021-03-18,WalkingStepLength,68.57142857142857
85,2021-03-19,HeadphoneAudioExposure,59.591572891566265
86,2021-03-19,WalkingAsymmetryPercentage,0.013333333333333334
87,2021-03-19,WalkingDoubleSupportPercentage,0.28875
88,2021-03-19,WalkingSpeed,4.881600000000001
89,2021-03-19,WalkingStepLength,79.2
90,2021-03-20,HeadphoneAudioExposure,69.05564528301886
91,2021-03-21,HeadphoneAudioExposure,70.511534
92,2021-03-21,WalkingAsymmetryPercentage,0.0
93,2021-03-21,WalkingDoubleSupportPercentage,0.283
94,2021-03-21,WalkingSpeed,4.731
95,2021-03-21,WalkingStepLength,77.0
96,2021-03-22,HeadphoneAudioExposure,70.11632777777778
97,2021-03-22,WalkingAsymmetryPercentage,0.052000000000000005
98,2021-03-22,WalkingDoubleSupportPercentage,0.3028
99,2021-03-22,WalkingSpeed,4.368
100,2021-03-22,WalkingStepLength,71.08333333333333
101,2021-03-23,HeadphoneAudioExposure,71.78000357142857
102,2021-03-23,WalkingAsymmetryPercentage,0.0033333333333333335
103,2021-03-23,WalkingDoubleSupportPercentage,0.27475
104,2021-03-23,WalkingSpeed,4.9959999999999996
105,2021-03-23,WalkingStepLength,77.88888888888889
106,2021-03-24,HeadphoneAudioExposure,70.40381515151515
107,2021-03-24,WalkingAsymmetryPercentage,0.06875
108,2021-03-24,WalkingDoubleSupportPercentage,0.3002
109,2021-03-24,WalkingSpeed,4.162909090909091
110,2021-03-24,WalkingStepLength,72.0909090909091
111,2021-03-25,HeadphoneAudioExposure,70.06079090909091
112,2021-03-25,WalkingAsymmetryPercentage,0.02
113,2021-03-25,WalkingDoubleSupportPercentage,0.292
114,2021-03-25,WalkingSpeed,4.704
115,2021-03-25,WalkingStepLength,78.33333333333333
116,2021-03-26,HeadphoneAudioExposure,67.93865217391304
117,2021-03-27,HeadphoneAudioExposure,68.36932525252524
118,2021-03-27,WalkingAsymmetryPercentage,0.05666666666666667
119,2021-03-27,WalkingDoubleSupportPercentage,0.3016
120,2021-03-27,WalkingSpeed,4.296
121,2021-03-27,WalkingStepLength,75.16666666666667
122,2021-03-28,HeadphoneAudioExposure,66.31269047619048
123,2021-03-28,WalkingDoubleSupportPercentage,0.288
124,2021-03-28,WalkingSpeed,3.456
125,2021-03-28,WalkingStepLength,68.0
126,2021-03-29,HeadphoneAudioExposure,66.61464375
127,2021-03-29,WalkingAsymmetryPercentage,0.095
128,2021-03-29,WalkingDoubleSupportPercentage,0.2986666666666667
129,2021-03-29,WalkingSpeed,4.145142857142857
130,2021-03-29,WalkingStepLength,71.85714285714286
131,2021-03-30,HeadphoneAudioExposure,67.84045348837209
132,2021-03-30,WalkingAsymmetryPercentage,0.002
133,2021-03-30,WalkingDoubleSupportPercentage,0.2703333333333333
134,2021-03-30,WalkingSpeed,5.2864615384615385
135,2021-03-30,WalkingStepLength,83.6923076923077
136,2021-03-31,HeadphoneAudioExposure,72.78742127659575
137,2021-03-31,WalkingAsymmetryPercentage,0.0
138,2021-03-31,WalkingDoubleSupportPercentage,0.3154166666666667
139,2021-03-31,WalkingSpeed,3.8237142857142854
140,2021-03-31,WalkingStepLength,67.0
141,2021-04-01,HeadphoneAudioExposure,69.30125238095238
142,2021-04-01,WalkingAsymmetryPercentage,0.1625
143,2021-04-01,WalkingDoubleSupportPercentage,0.3149
144,2021-04-01,WalkingSpeed,4.346307692307692
145,2021-04-01,WalkingStepLength,73.3076923076923
146,2021-04-02,HeadphoneAudioExposure,67.93641348314607
147,2021-04-02,WalkingDoubleSupportPercentage,0.309
148,2021-04-02,WalkingSpeed,4.392
149,2021-04-02,WalkingStepLength,74.0
150,2021-04-03,HeadphoneAudioExposure,66.36384354411531
151,2021-04-03,WalkingAsymmetryPercentage,0.0016666666666666668
152,2021-04-03,WalkingDoubleSupportPercentage,0.2995
153,2021-04-03,WalkingSpeed,4.455
154,2021-04-03,WalkingStepLength,74.5
155,2021-04-04,HeadphoneAudioExposure,69.7308576923077
156,2021-04-05,HeadphoneAudioExposure,73.78987457627119
157,2021-04-05,WalkingAsymmetryPercentage,0.0007142857142857143
158,2021-04-05,WalkingDoubleSupportPercentage,0.2798333333333333
159,2021-04-05,WalkingSpeed,4.904999999999999
160,2021-04-05,WalkingStepLength,78.2
161,2021-04-06,HeadphoneAudioExposure,72.03448636363636
162,2021-04-06,WalkingAsymmetryPercentage,0.0
163,2021-04-06,WalkingDoubleSupportPercentage,0.23566666666666666
164,2021-04-06,WalkingSpeed,6.18
165,2021-04-06,WalkingStepLength,88.66666666666667
166,2021-04-07,HeadphoneAudioExposure,73.22381489361702
167,2021-04-07,WalkingDoubleSupportPercentage,0.3175
168,2021-04-07,WalkingSpeed,3.51
169,2021-04-07,WalkingStepLength,62.5
170,2021-04-08,HeadphoneAudioExposure,68.72494038461538
171,2021-04-09,HeadphoneAudioExposure,63.28932042857142
172,2021-04-10,HeadphoneAudioExposure,72.03216
173,2021-04-10,WalkingDoubleSupportPercentage,0.283
174,2021-04-10,WalkingSpeed,4.716
175,2021-04-10,WalkingStepLength,80.0
176,2021-04-11,HeadphoneAudioExposure,68.90131875
