,date,type,value
0,2021-02-27,DistanceWalkingRunning,4.53714
1,2021-02-27,FlightsClimbed,7.0
2,2021-02-27,StepCount,6074.0
3,2021-02-28,DistanceWalkingRunning,3.02745
4,2021-02-28,FlightsClimbed,3.0
5,2021-02-28,StepCount,4081.0
6,2021-03-01,DistanceWalkingRunning,5.38046
7,2021-03-01,FlightsClimbed,17.0
8,2021-03-01,StepCount,7778.0
9,2021-03-02,DistanceWalkingRunning,3.00442
10,2021-03-02,FlightsClimbed,4.0
11,2021-03-02,StepCount,3961.0
12,2021-03-03,DistanceWalkingRunning,4.43423
13,2021-03-03,FlightsClimbed,27.0
14,2021-03-03,StepCount,6229.0
15,2021-03-04,DistanceWalkingRunning,3.51007
16,2021-03-04,FlightsClimbed,4.0
17,2021-03-04,StepCount,5147.0
18,2021-03-05,DistanceWalkingRunning,3.16527
19,2021-03-05,FlightsClimbed,12.0
20,2021-03-05,StepCount,4575.0
21,2021-03-06,DistanceWalkingRunning,8.78458
22,2021-03-06,FlightsClimbed,11.0
23,2021-03-06,StepCount,13047.0
24,2021-03-07,DistanceWalkingRunning,4.20408
25,2021-03-07,FlightsClimbed,3.0
26,2021-03-07,StepCount,5597.0
27,2021-03-08,DistanceWalkingRunning,0.32521
28,2021-03-08,StepCount,488.0
29,2021-03-09,DistanceWalkingRunning,0.19451000000000002
30,2021-03-09,StepCount,303.0
31,2021-03-10,DistanceWalkingRunning,2.11865
32,2021-03-10,FlightsClimbed,1.0
33,2021-03-10,StepCount,2849.0
34,2021-03-11,DistanceWalkingRunning,0.45792
35,2021-03-11,FlightsClimbed,1.0
36,2021-03-11,StepCount,645.0
37,2021-03-12,DistanceWalkingRunning,0.51718
38,2021-03-12,StepCount,752.0
39,2021-03-13,DistanceWalkingRunning,0.42345
40,2021-03-13,StepCount,631.0
41,2021-03-14,DistanceWalkingRunning,4.51483
42,2021-03-14,FlightsClimbed,6.0
43,2021-03-14,StepCount,6778.0
44,2021-03-15,DistanceWalkingRunning,2.2487399999999997
45,2021-03-15,FlightsClimbed,12.0
46,2021-03-15,StepCount,3490.0
47,2021-03-16,DistanceWalkingRunning,0.3412
48,2021-03-16,StepCount,486.0
49,2021-03-17,DistanceWalkingRunning,2.46603
50,2021-03-17,FlightsClimbed,21.0
51,2021-03-17,StepCount,3874.0
52,2021-03-18,DistanceWalkingRunning,2.69426
53,2021-03-18,FlightsClimbed,18.0
54,2021-03-18,StepCount,3870.0
55,2021-03-19,DistanceWalkingRunning,1.8837191
56,2021-03-19,FlightsClimbed,6.0
57,2021-03-19,StepCount,2742.0
58,2021-03-20,DistanceWalkingRunning,0.21635000000000001
59,2021-03-20,StepCount,325.0
60,2021-03-21,DistanceWalkingRunning,3.23572
61,2021-03-21,FlightsClimbed,7.0
62,2021-03-21,StepCount,4361.0
63,2021-03-22,DistanceWalkingRunning,2.0114900000000002
64,2021-03-22,FlightsClimbed,10.0
65,2021-03-22,StepCount,3188.0
66,2021-03-23,DistanceWalkingRunning,2.6754700000000002
67,2021-03-23,FlightsClimbed,9.0
68,2021-03-23,StepCount,3733.0
69,2021-03-24,DistanceWalkingRunning,2.56619
70,2021-03-24,FlightsClimbed,14.0
71,2021-03-24,StepCount,3986.0
72,2021-03-25,DistanceWalkingRunning,1.53451
73,2021-03-25,FlightsClimbed,3.0
74,2021-03-25,StepCount,2080.0
75,2021-03-26,DistanceWalkingRunning,0.51532
76,2021-03-26,StepCount,767.0
77,2021-03-27,DistanceWalkingRunning,2.37588
78,2021-03-27,FlightsClimbed,1.0
79,2021-03-27,StepCount,3270.0
80,2021-03-28,DistanceWalkingRunning,0.35094000000000003
81,2021-03-28,StepCount,518.0
82,2021-03-29,DistanceWalkingRunning,2.03829
83,2021-03-29,FlightsClimbed,11.0
84,2021-03-29,StepCount,2877.0
85,2021-03-30,DistanceWalkingRunning,5.70367
86,2021-03-30,FlightsClimbed,14.0
87,2021-03-30,StepCount,7958.0
88,2021-03-31,DistanceWalkingRunning,2.5470800000000002
89,2021-03-31,FlightsClimbed,18.0
90,2021-03-31,StepCount,3892.0
91,2021-04-01,DistanceWalkingRunning,4.00491
92,2021-04-01,FlightsClimbed,18.0
93,2021-04-01,StepCount,6587.0
94,2021-04-02,DistanceWalkingRunning,0.53276
95,2021-04-02,StepCount,764.0
96,2021-04-03,DistanceWalkingRunning,2.11226
97,2021-04-03,FlightsClimbed,8.0
98,2021-04-03,StepCount,2987.0
99,2021-04-04,DistanceWalkingRunning,0.25241
100,2021-04-04,StepCount,382.0
101,2021-04-05,DistanceWalkingRunning,6.40275
102,2021-04-05,FlightsClimbed,39.0
103,2021-04-05,StepCount,9100.0
104,2021-04-06,DistanceWalkingRunning,1.44621
105,2021-04-06,FlightsClimbed,3.0
106,2021-04-06,StepCount,1954.0
107,2021-04-07,DistanceWalkingRunning,0.38766
108,2021-04-07,StepCount,567.0
109,2021-04-08,DistanceWalkingRunning,0.21744
110,2021-04-08,StepCount,313.0
111,2021-04-09,DistanceWalkingRunning,0.20243
112,2021-04-09,StepCount,278.0
